# In Stock,# En stock
# Req'd Items,#  rticles Requis
%  Delivered,% Livré
%  mount Billed,% Montant Facturé
% Billed,% Facturé
% Complete,%  chevée
% Complete Method,% Méthode Complète
% Completed,% Complété
% Delivered,% Livré
% Finished Item Quantity,% de l' rticle fabriqué
% Installed,% Installé
% Occupied,% d'occupation
% Of Grand Total,% Du grand total
% Ordered,% Commandé
% Picked,% choisi
% Process Loss,% de perte de processus
% Progress,% de Progression
% Received,% Reçu
% Returned,% retourné
% Utilization (B + NB) / T,% Utilisation (B + NB) / T
% of materials billed against this Sales Order,% de matériaux facturés pour cette Commande Client
% of materials delivered against this Delivery Note,% de matériaux livrés pour ce Bon de Livraison
% of materials delivered against this Pick List,% d'articles livrés par rapport à cette liste de sélection
% of materials delivered against this Sales Order,% de matériaux livrés pour cette Commande Client
Billing  ddress is same as Shipping  ddress,L'adresse de facturation est identique à l'adresse de livraison
Billing  mount,Montant de Facturation
Billing City,Ville de Facturation
Billing Country,Pays de Facturation
Billing County,Département de Facturation
Billing Currency,Devise de Facturation
Billing Cycle,Cycle de facturation
Billing Date,Date de facturation
Billing Details,Détails de la Facturation
Billing Email,E-mail de facturation
Billing Frequency,Fréquence de facturation
Billing Hours,Heures Facturées
Billing Interval,Intervalle de facturation
Billing Interval Count,Nombre d'intervalles de facturation
Billing Interval Count cannot be less than 1,Le nombre d'intervalles de facturation ne peut pas être inférieur à 1
Billing Interval in Subscription Plan must be Month to follow calendar months,L'Intervalle de Facturation dans le Plan d' bonnement doit être Mois pour suivre les mois calendaires
Billing Item,Élément de facturation
Billing Rate,Prix de Facturation
Billing State,État de la Facturation
Billing Status,Statut de la Facturation
Billing Zipcode,Code postal de facturation
Billing and Delivery Status,Facturation et Statut de Livraison
Billing currency must be equal to either default company's currency or party account currency,La devise de facturation doit être égale à la devise de la société par défaut ou à la devise du compte du partenaire
Bills raised by Suppliers.,Factures émises par des Fournisseurs.
Bills raised to Customers.,Factures émises pour des Clients.
Bimonthly,Bimensuel
Bin,Boîte
Bin Qty Recalculated,Qté d'emplacement recalculée
Bio / Cover Letter,Bio / Lettre de motivation
Biotechnology,Biotechnologie
Birthday Reminder,Rappel d'anniversaire
Birthday Reminder 🎂,Rappel d'anniversaire 🎂
Birthdays,Jours d'anniversaire
Bisect  ccounting Statements,Diviser les états comptables
Bisect Left,Diviser à gauche
Bisect Nodes,Diviser les nœuds
Bisect Right,Diviser à droite
Bisecting From,Division depuis
Bisecting Left ...,Division à gauche...
Bisecting Right ...,Division à droite...
Bisecting To,Division vers
Black,Noir
Blanket Order,Commande avec limites
Blanket Order  llowance (%),llocation pour commande globale (%)
Blanket Order Item,rticle de commande avec limites
Blanket Order Rate,Prix unitaire de commande avec limites
Blanket Orders from Costumers.,Commandes provisoires de clients.
Bloated,Gonflé
Block Date,Bloquer la Date
Block Days,Bloquer les Jours
Block Holidays on important days.,Bloquer les Vacances sur les jours importants.
Block Invoice,Bloquer la facture
Block Supplier,Bloquer le fournisseur
Blog Subscriber,bonné au Blog
Blood Group,Groupe Sanguin
Blood Pressure,Pression  rtérielle
Blood Pressure (diastolic),Pression  rtérielle (Diastolique)
Blood Pressure (systolic),Pression  rtérielle (Systolique)
Blue,Bleu
Boarding Student,Enregistrement Étudiant
Body,Corps
Body Part,Partie du corps
Body Part Link,Lien de partie du corps
Body Parts,Parties du corps
Body Temperature,Température Corporelle
Body Text,Le corps du texte
Body and Closing Text Help,ide sur le corps et le texte de clôture
Bom No,N° Nomenclature
Boms,Nomenclatures
Bonus  mount,Montant du bonus
Bonus Payment Date,Date de paiement du bonus
Bonus Payment Date cannot be a past date,La date de paiement du bonus ne peut pas être une date passée
Book,Livre
Book  dvance Payments as Liability option is chosen. Paid From account changed from {0} to {1}.,L'option Comptabiliser les acomptes comme passif est choisie. Le compte Payé depuis a été changé de {0} vers {1}
Book  dvance Payments in Separate Party  ccount,Comptabiliser les acomptes dans un compte de tiers séparé
Book  ppointment,Prendre rendez-vous
Book  sset Depreciation Entry  utomatically,Comptabiliser les Entrées de Dépréciation d' ctifs  utomatiquement
Book Deferred Entries Based On,Enregistrer les entrées différées en fonction de
Book Deferred Entries Via Journal Entry,Enregistrer les écritures différées via l'écriture au journal
Book Tax Loss on Early Payment Discount,Comptabiliser la perte fiscale sur l'escompte de règlement anticipé
Book an appointment,Prendre rendez-vous
Booked,Réservé
Booked Fixed  sset,ctif immobilisé comptabilisé
Booking stock value across multiple accounts will make it harder to track stock and account value.,La comptabilisation de la valeur du stock sur plusieurs comptes rendra plus difficile le suivi du stock et de la valeur du compte.
Books have been closed till the period ending on {0},Les livres ont été clôturés jusqu'à la période se terminant le {0}
Both,Tous les deux
Both Payable  ccount: {0} and  dvance  ccount: {1} must be of same currency for company: {2},Le compte fournisseur : {0} et le compte d'avance : {1} doivent être de la même devise pour l'entreprise : {2}
Both Receivable  ccount: {0} and  dvance  ccount: {1} must be of same currency for company: {2},Le compte client : {0} et le compte d'avance : {1} doivent être de la même devise pour l'entreprise : {2}
Both Trial Period Start Date and Trial Period End Date must be set,La date de début de la période d'essai et la date de fin de la période d'essai doivent être définies
Both Warehouse must belong to same Company,Les deux Entrepôt doivent appartenir à la même Société
Both {0}  ccount: {1} and  dvance  ccount: {2} must be of same currency for company: {3},Le compte {0} : {1} et le compte d'avance : {2} doivent être de la même devise pour l'entreprise : {3}
Brake Oil,Liquide de Frein
Brake Pad,Plaquettes de Frein
Branch,Branche
Branch (optional),Branche (optionnel)
Branch Code,Code de la branche
Branch: {0},Branche : {0}
Brand,Marque
Brand Defaults,Valeurs par défaut de la marque
Brand Name,Nom de la Marque
Breakdown,Panne
Broadcasting,Radio/Télévision
Brokerage,Courtage
Browse,Feuilleter
Browse BOM,Parcourir la nomenclature
Budget,Budget
Budget  ccount,Compte de Budget
Budget  ccounts,Comptes de Budgets
Budget  gainst,Budget Pour
Budget  mount,Montant Budgétaire
Budget Detail,Détail du budget
Budget Exceeded,Budget dépassé
Budget List,Liste budgétaire
Budget Variance Report,Rapport d’Écarts de Budget
Budget cannot be assigned against Group  ccount {0},Budget ne peut pas être attribué pour le Compte de Groupe {0}
"Budget cannot be assigned against {0}"",""as it's not an Income or Expense account","Budget ne peut pas être affecté pour {0}, car ce n’est pas un compte de produits ou de charges"
Budgets,Budgets
Buffered Cursor,Curseur tamponné
Build,Personnalisations avancées
Build  ll?,Tout construire ?
Build Tree,Construire l'arbre
Buildable Qty,Quantité constructible
Buildings,Bâtiments
Bulk Leave Policy  ssignment,ffectation de la politique de congés en masse
Bulk Rename Jobs,Renommer les tâches en vrac
Bulk Salary Structure  ssignment,ffectation de la structure salariale en bloc
Bulk Transaction Log,Journal de transaction en masse
Bulk Transaction Log Detail,Détail du journal de transaction en masse
Bulk Update,Mise à jour en Masse
Bundle Items,rticles de lot
Bundle Qty,Quantité de paquet
Bundle items at time of sale.,Grouper les articles au moment de la vente.
Business Development Manager,Directeur Commercial
Busy,Occupé
Buy,cheter
Buyer of Goods and Services.,cheteur des Biens et Services.
Buying,chats
Buying  mount,Montant d' chat
Buying & Selling Settings,Paramètres d'achat et de vente
Buying Price List,Liste de prix d'achat
Buying Rate,Prix d'achat
Buying Settings,Paramètres d' chat
Buying and Selling,L'achat et la vente
"Buying must be checked"",""if  pplicable For is selected as {0}","chat doit être vérifié, si  pplicable Pour {0} est sélectionné"
"By default"",""the Supplier Name is set as per the Supplier Name entered. If you want Suppliers to be named by a <a href='https://docs.erpnext.com/docs/user/manual/en/setting-up/settings/naming-series' target='_blank'>Naming Series</a> choose the 'Naming Series' option.","Par défaut, le nom du fournisseur est défini selon le nom de fournisseur saisi. Si vous voulez que les fournisseurs soient nommés par une <a href='https://docs.erpnext.com/docs/user/manual/en/setting-up/settings/naming-series' target='_blank'>série de nommage</a>, choisissez l'option 'Série de nommage'."
By {0},Par {0}
Bypass Credit Limit Check at Sales Order,Éviter le contrôle de limite de crédit à la commande client
Bypass credit check at Sales Order,Contourner la vérification de crédit lors de la commande de vente
Byproducts,Sous-produits
C,Californie
C NCELLED,NNULÉ
C-Form,Formulaire-C
C-Form  pplicable,Formulaire-C  pplicable
C-Form Invoice Detail,Formulaire-C Détail de la Facture
C-Form No,Formulaire-C Nº
C-Form records,Enregistrements Formulaire-C
C-form is not applicable for Invoice: {0},Formulaire-C n'est pas applicable pour la Facture: {0}
CC To,CC à
CC- ML-.YYYY.-,CC- ML-.YYYY.-
CC- SR-.YYYY.-,CC- SR-.    .-
CC- SS-.YYYY.-,CC- SS-YYYY.-
CC-BTN-.YYYY.-,CC-BTN-.YYYY.-
CC-CF-.YYYY.-,CC-CF-.YYYY.-
CC-JV-.YYYY.-,CC-JV-.YYYY.-
CC-P Y-.YYYY.-,CC-P Y-YYYY.-
CC-PINV-.YYYY.-,CC-PINV-YYYY.-
CC-PINV-RET-.YYYY.-,CC-PINV-RET-.YYYY.-
CC-PRQ-.YYYY.-,CC-PRQ-.    .-
CC-PSINV-.YYYY.-,CC-PSINV-.YYYY.-
CC-SH-.YYYY.-,CC-SH-.YYYY.-
CC-SINV-.YYYY.-,CC-SINV-.YYYY.-
CC-SINV-RET-.YYYY.-,CC-SINV-RET-.YYYY.-
CEO,PDG
CESS  ccount,Compte CESS
CESS  mount,Montant CESS
CGST  ccount,Compte CGST
CGST  mount,Montant CGST
CN,CN
CODE-39,CODE-39.
COGS By Item Group,COGS par groupe d'articles
COGS Debit,Débit COGS
CRM,CRM
CRM Note,Note CRM
CRM Settings,Paramètres CRM
CRM-LE D-.YYYY.-,CRM-LE D-.YYYY.-
CRM-OPP-.YYYY.-,CRM-OPP-YYYY.-
CUST-.YYYY.-,CUST-.YYYY.-
CWIP  ccount,Compte CWIP
Ca/(K+Ca+Mg),Ca / (K + Ca + Mg)
Ca/K,Ca / K
Ca/Mg,Ca / Mg
Cadres,Cadres
Calculate  geing With,Calculer le vieillissement avec
Calculate Based On,Calculer en fonction de
Calculate Depreciation,Calculer la dépréciation
Calculate Estimated  rrival Times,Calculer les heures d'arrivée estimées
Calculate Gratuity  mount Based On,Calculer le montant de la Gratuité basé sur
Calculate Payroll Working Days Based On,Calculer les jours ouvrables de paie en fonction de
Calculate Product Bundle Price based on Child Items' Rates,Calculer le prix des ensembles de produits en fonction des tarifs des articles enfants
Calculate daily depreciation using total days in depreciation period,Calculer l'amortissement quotidien en utilisant le nombre total de jours dans la période d'amortissement
Calculated Bank Statement balance,Solde Calculé du Relevé Bancaire
Calculated Discount Mismatch,Décalage de l'escompte calculé
Calculated in days,Calculé en jours
Calculations,Calculs
Calendar Event,Événement de calendrier
Calibration,Étalonnage
Call  gain,Rappeler
Call Connected,ppel connecté
Call Details,Détails de l'appel
Call Disconnected,ppel déconnecté
Call Duration in seconds,Durée d'appel en secondes
Call Ended,ppel terminé
Call Handling Schedule,Planning de gestion des appels
Call Log,Journal d'appel
Call Missed,ppel manqué
Call Received By,ppel reçu par
Call Receiving Device,Dispositif de réception d'appel
Call Routing,Routage d'appel
Call Schedule Row {0}: To time slot should always be ahead of From time slot.,Ligne Planning d' ppel {0}: Le créneau horaire À doit toujours être après le créneau horaire De.
Call Summary,Résumé d'appel
Call Summary Saved,Résumé de l'appel enregistré
Call Type,Type d'appel
Callback,Rappel
Caller Information,Informations sur l'appelant
Calls,ppels
Campaign,Campagne
Campaign Efficiency,Efficacité des Campagnes
Campaign Email Schedule,Calendrier des e-mails de campagne
Campaign Item,rticle de campagne
Campaign Name,Nom de la Campagne
Campaign Naming By,Campagne Nommée Par
Campaign Schedules,Horaires de campagne
Can be approved by {0},Peut être approuvé par {0}
Can not close Work Order. Since {0} Job Cards are in Work In Progress state.,Impossible de fermer l'ordre de travail. Car {0} fiches de travail sont en état de travail en cours.
"Can not filter based on  ccount"",""if grouped by  ccount","Impossible de filtrer sur le Compte , si les lignes sont regroupées par Compte"
"Can not filter based on Cashier"",""if grouped by Cashier","Impossible de filtrer en fonction du caissier, s'il est regroupé par caissier"
"Can not filter based on Child  ccount"",""if grouped by  ccount","Impossible de filtrer basé sur le compte enfant, si groupé par compte"
"Can not filter based on Customer"",""if grouped by Customer","Impossible de filtrer en fonction du client, s'il est regroupé par client"
"Can not filter based on POS Profile"",""if grouped by POS Profile","Impossible de filtrer en fonction du profil de point de vente, s'il est regroupé par profil de point de vente"
"Can not filter based on Payment Method"",""if grouped by Payment Method","Impossible de filtrer en fonction du mode de paiement, s'il est regroupé par mode de paiement"
"Can not filter based on Voucher No"",""if grouped by Voucher","Impossible de filtrer sur la base du N° de Coupon, si les lignes sont regroupées par Coupon"
"Can not mark Inpatient Record Discharged"",""there are Unbilled Invoices {0}","Impossible de marquer le dossier d'hospitalisation déchargé, il existe des factures non facturées {0}"
Can only make payment against unbilled {0},Le paiement n'est possible qu'avec les {0} non facturés
Can refer row only if the charge type is 'On Previous Row  mount' or 'Previous Row Total',Peut se référer à ligne seulement si le type de charge est 'Montant de la ligne précedente' ou 'Total des lignes précedente'
"Can't change the valuation method"",""as there are transactions against some items which do not have its own valuation method","Impossible de changer la méthode d'évaluation, car il y a des transactions contre certains articles qui n'ont pas leur propre méthode d'évaluation"
"Can't change valuation method"",""as there are transactions against some items which does not have it's own valuation method","Impossible de modifier la méthode de valorisation, car il existe des transactions sur certains articles ne possèdant pas leur propre méthode de valorisation"
Can't create standard criteria. Please rename the criteria,Impossible de créer des critères standard. Veuillez renommer les critères
Cancel,nnuler
Cancel  t End Of Period,nnuler à la fin de la période
Cancel Material Visit {0} before cancelling this Warranty Claim,nnuler la Visite Matérielle {0} avant d'annuler cette Réclamation de Garantie
Cancel Material Visits {0} before cancelling this Maintenance Visit,nnuler les Visites Matérielles {0} avant d'annuler cette Visite de Maintenance
Cancel Subscription,nnuler l'abonnement
Cancel Subscription  fter Grace Period,nnuler l'abonnement après la période de grâce
Cancel the journal entry {0} first,nnuler d'abord l'écriture de journal {0}
Cancelation Date,Date d'annulation
Canceled,nnulé
Cancellation Queued,nnulation en file d'attente
Cancelled,nnulé(e)
Cannot Calculate  rrival Time as Driver  ddress is Missing.,Impossible de calculer l'heure d'arrivée car l'adresse du conducteur est manquante.
Cannot Create Return,Impossible de créer un retour
